timestamp,price_usd
2025-04-20 23:35:52.639087,85077
2025-04-20 23:36:02.763716,85077
2025-04-20 23:36:12.891859,85077
2025-04-20 23:36:23.012530,85071
2025-04-20 23:36:33.141381,85071
2025-04-20 23:37:43.807158,85071
2025-04-20 23:37:53.922170,85071
2025-04-20 23:38:04.046852,85071
2025-04-20 23:38:14.152487,85071
2025-04-20 23:38:24.249788,85045
2025-04-20 23:38:34.360466,85045
2025-04-20 23:38:44.469094,85045
2025-04-20 23:39:55.145823,85041
2025-04-20 23:40:05.260741,85041
2025-04-20 23:40:15.374536,85041
2025-04-20 23:40:25.479854,85032
2025-04-20 23:40:35.596747,85032
2025-04-20 23:40:45.724541,85032
2025-04-20 23:41:56.399586,85026
2025-04-20 23:42:06.518022,85026
2025-04-20 23:42:16.633933,85026
2025-04-20 23:42:26.750961,85045
2025-04-20 23:42:36.873878,85045
2025-04-20 23:42:47.000728,85045
2025-04-20 23:43:57.701800,85047
2025-04-20 23:44:07.820142,85047
2025-04-20 23:44:17.946398,85047
2025-04-20 23:44:28.088198,85048
2025-04-20 23:44:38.200292,85048
2025-04-20 23:44:48.297785,85048
2025-04-20 23:45:58.897833,85054
2025-04-20 23:46:09.002736,85054
2025-04-20 23:46:19.105081,85054
2025-04-20 23:46:29.203514,85064
2025-04-20 23:46:39.308190,85064
2025-04-20 23:51:41.131675,85073
2025-04-20 23:51:51.242862,85073
2025-04-20 23:52:01.348567,85073
2025-04-20 23:52:11.465014,85073
2025-04-20 23:52:21.579727,85073
2025-04-20 23:52:31.693243,85073
2025-04-20 23:52:41.825308,85073
2025-04-20 23:53:52.524695,85069
2025-04-20 23:54:02.653528,85069
2025-04-20 23:54:12.766493,85069
2025-04-20 23:54:22.898327,85069
2025-04-20 23:54:33.014665,85069
2025-04-20 23:54:43.148281,85067
2025-04-20 23:55:53.797538,85071
2025-04-20 23:56:03.911403,85071
2025-04-20 23:56:14.020980,85071
2025-04-20 23:56:24.155442,85071
2025-04-20 23:56:34.254457,85071
2025-04-20 23:56:44.363195,85073
2025-04-20 23:57:55.029044,85093
2025-04-20 23:58:05.157968,85093
2025-04-20 23:58:15.269140,85093
2025-04-20 23:58:25.375848,85093
2025-04-20 23:58:35.490184,85093
2025-04-20 23:58:45.588214,85094
2025-04-20 23:59:56.350990,85107
2025-04-21 00:00:06.470278,85107
2025-04-21 00:00:16.600388,85107
2025-04-21 00:00:26.709826,85107
2025-04-21 00:00:36.830775,85107
2025-04-21 00:00:46.951349,85128
2025-04-21 00:01:57.842077,85138
2025-04-21 00:02:07.958226,85138
2025-04-21 00:02:18.078934,85138
2025-04-21 00:02:28.177159,85138
2025-04-21 00:02:38.271773,85138
2025-04-21 00:02:48.372888,85143
2025-04-21 00:03:59.007104,85149
2025-04-21 00:04:09.124471,85149
2025-04-21 00:04:19.259539,85149
2025-04-21 00:04:29.387384,85149
2025-04-21 00:04:39.492007,85149
2025-04-21 00:04:49.602234,85152
2025-04-21 00:06:00.255204,85147
2025-04-21 00:06:10.376252,85147
2025-04-21 00:06:20.493872,85147
2025-04-21 00:06:30.605498,85147
2025-04-21 00:06:40.714440,85147
2025-04-21 00:07:51.354232,85186
2025-04-21 00:08:01.477593,85186
2025-04-21 00:08:11.587481,85186
2025-04-21 00:08:21.712074,85186
2025-04-21 00:08:31.815779,85186
2025-04-21 00:08:41.944038,85186
2025-04-21 00:09:52.668839,85201
2025-04-21 00:10:02.957097,85201
2025-04-21 00:10:13.138038,85201
2025-04-21 00:10:23.280375,85201
2025-04-21 00:10:33.388310,85201
2025-04-21 00:10:43.512631,85201
2025-04-21 00:11:54.251453,85209
2025-04-21 00:12:04.397957,85220
2025-04-21 00:12:14.507465,85220
2025-04-21 00:12:24.626114,85220
2025-04-21 00:12:34.761096,85220
2025-04-21 00:12:44.901603,85220
2025-04-21 00:13:55.628437,85244
2025-04-21 00:14:05.839528,85271
2025-04-21 00:14:15.931224,85271
2025-04-21 00:14:26.053385,85271
2025-04-21 00:14:36.174488,85271
2025-04-21 00:14:46.283692,85271
2025-04-21 00:15:56.925970,85279
2025-04-21 00:16:07.056,85283
2025-04-21 00:16:17.182327,85283
2025-04-21 00:16:27.278734,85283
2025-04-21 00:16:37.393328,85283
2025-04-21 00:16:47.600875,85283
2025-04-21 00:17:58.247133,85304
2025-04-21 00:18:08.361627,85317
2025-04-21 00:18:18.465615,85317
2025-04-21 00:18:28.577983,85317
2025-04-21 00:18:38.684651,85317
2025-04-21 00:18:48.786018,85317
2025-04-21 00:19:59.493399,85331
2025-04-21 00:20:09.596778,85360
2025-04-21 00:20:19.720313,85360
2025-04-21 00:20:29.844671,85360
2025-04-21 00:20:39.959660,85360
2025-04-21 00:20:50.088965,85360
2025-04-21 00:21:00.218972,85360
2025-04-21 00:22:10.929155,85394
2025-04-21 00:22:21.042704,85394
2025-04-21 00:22:31.166329,85394
2025-04-21 00:22:41.297951,85394
2025-04-21 00:22:51.415739,85394
2025-04-21 00:23:01.542760,85394
2025-04-21 00:24:12.180844,85408
2025-04-21 00:24:22.474936,85408
2025-04-21 00:24:32.589448,85408
2025-04-21 00:24:42.702405,85408
2025-04-21 00:24:52.881042,85408
2025-04-21 00:25:03.002899,85408
2025-04-21 00:25:13.127977,85423
2025-04-21 00:26:23.875585,85437
2025-04-21 00:26:34.006226,85437
2025-04-21 00:26:44.261841,85437
2025-04-21 00:26:54.475311,85437
2025-04-21 00:27:04.594294,85437
2025-04-21 00:27:14.750028,85477
2025-04-21 00:27:24.859730,85477
2025-04-21 00:27:34.975341,85477
2025-04-21 00:27:45.167413,85477
2025-04-21 00:28:56.034492,85551
2025-04-21 00:29:06.202227,85551
2025-04-21 00:29:16.343908,85660
2025-04-21 00:29:26.481040,85660
2025-04-21 00:29:36.649007,85660
2025-04-21 00:29:46.751807,85660
2025-04-21 00:30:57.515034,85754
2025-04-21 00:31:07.765140,85754
2025-04-21 00:31:17.938557,85915
2025-04-21 00:31:28.046374,85915
2025-04-21 00:31:38.147373,85915
2025-04-21 00:31:48.276424,85915
2025-04-21 00:32:58.977923,86041
2025-04-21 00:33:09.096301,86041
2025-04-21 00:33:19.268772,86041
2025-04-21 00:33:29.369846,86121
2025-04-21 00:33:39.475569,86121
2025-04-21 00:33:49.593655,86121
2025-04-21 00:35:00.259900,86349
2025-04-21 00:35:10.364892,86349
2025-04-21 00:35:20.473275,86349
2025-04-21 00:35:30.578607,86408
2025-04-21 00:35:40.697468,86408
2025-04-21 00:36:51.416007,86464
2025-04-21 00:37:01.525896,86464
2025-04-21 00:37:11.633982,86464
2025-04-21 00:37:21.760500,86464
2025-04-21 00:37:31.892539,86520
2025-04-21 00:37:42.021268,86520
2025-04-21 00:38:52.720092,86446
2025-04-21 00:39:02.838984,86446
2025-04-21 00:39:12.974727,86446
2025-04-21 00:39:23.081358,86446
2025-04-21 00:39:33.201610,86404
2025-04-21 00:39:43.303969,86404
2025-04-21 00:40:53.991627,86400
2025-04-21 00:41:04.154920,86400
2025-04-21 00:41:14.323768,86400
2025-04-21 00:41:24.427972,86400
2025-04-21 00:41:34.548506,86334
2025-04-21 00:41:44.644685,86334
2025-04-21 00:42:55.424893,86331
2025-04-21 00:43:05.542741,86331
2025-04-21 00:43:15.640487,86331
2025-04-21 00:43:25.754960,86331
2025-04-21 00:43:35.890242,86373
2025-04-21 00:43:46.005042,86373
2025-04-21 00:44:56.760626,86416
2025-04-21 00:45:06.889600,86416
2025-04-21 00:45:17.018361,86416
2025-04-21 00:45:27.143259,86416
2025-04-21 00:45:37.276713,86511
2025-04-21 00:45:47.386359,86511
2025-04-21 00:46:58.043540,86570
2025-04-21 00:47:08.167378,86570
2025-04-21 00:47:18.266067,86570
2025-04-21 00:47:28.386922,86570
2025-04-21 00:47:38.509929,86628
2025-04-21 00:47:48.634829,86628
2025-04-21 00:48:59.398087,86748
2025-04-21 00:49:09.508085,86748
2025-04-21 00:49:19.626366,86748
2025-04-21 00:49:29.725497,86748
2025-04-21 00:49:39.834024,86746
2025-04-21 00:49:49.936297,86746
2025-04-21 00:50:00.084256,86746
2025-04-21 00:51:10.798813,86778
2025-04-21 00:51:20.920118,86778
2025-04-21 00:51:31.054997,86778
2025-04-21 00:51:41.176101,86798
2025-04-21 00:51:51.286077,86798
2025-04-21 00:52:01.380893,86798
2025-04-21 00:53:12.042924,86735
2025-04-21 00:53:22.161237,86735
2025-04-21 00:53:32.310308,86735
2025-04-21 00:53:42.432624,86745
2025-04-21 00:53:52.562223,86745
2025-04-21 00:54:02.664724,86745
2025-04-21 00:54:12.788176,86745
2025-04-21 00:55:23.446590,86762
2025-04-21 00:55:33.587041,86762
2025-04-21 00:55:43.711884,86762
2025-04-21 00:55:53.826929,86729
2025-04-21 00:56:03.939699,86729
2025-04-21 00:56:14.064536,86729
2025-04-21 00:56:24.204353,86729
2025-04-21 00:56:34.327164,86729
2025-04-21 00:57:44.983106,86736
2025-04-21 00:57:55.102924,86746
2025-04-21 00:58:05.231120,86746
2025-04-21 00:58:15.343329,86746
2025-04-21 00:58:25.446489,86746
2025-04-21 00:58:35.554652,86746
2025-04-21 00:58:45.677159,86746
2025-04-21 00:59:56.343334,86694
2025-04-21 01:00:06.459817,86694
2025-04-21 01:00:16.571280,86694
2025-04-21 01:00:26.672649,86694
2025-04-21 01:00:36.785048,86694
2025-04-21 01:00:46.902032,86694
2025-04-21 01:01:57.669284,86667
2025-04-21 01:02:07.819575,86667
2025-04-21 01:02:17.938868,86667
2025-04-21 01:02:28.047113,86667
2025-04-21 01:02:38.154116,86667
2025-04-21 01:02:48.286927,86667
2025-04-21 01:03:58.988761,86766
2025-04-21 01:04:09.115832,86766
2025-04-21 01:04:19.236575,86766
2025-04-21 01:04:29.353956,86766
2025-04-21 01:04:39.478887,86766
2025-04-21 01:04:49.590704,86766
2025-04-21 01:06:00.295289,86791
2025-04-21 01:06:10.460693,86791
2025-04-21 01:06:20.593806,86791
2025-04-21 01:06:30.712394,86791
2025-04-21 01:06:40.835281,86791
2025-04-21 01:07:51.646056,86837
2025-04-21 01:08:01.782577,86894
2025-04-21 01:08:11.890979,86894
2025-04-21 01:08:22.004160,86894
2025-04-21 01:08:32.162144,86894
2025-04-21 01:08:42.286795,86894
2025-04-21 01:09:53.001316,86912
2025-04-21 01:10:03.122515,86940
2025-04-21 01:10:13.248244,86940
2025-04-21 01:10:23.370631,86940
2025-04-21 01:10:33.488051,86940
2025-04-21 01:10:43.594498,86940
2025-04-21 01:11:54.286462,86939
2025-04-21 01:12:04.423724,86954
2025-04-21 01:12:14.543756,86954
2025-04-21 01:12:24.653617,86954
2025-04-21 01:12:34.755974,86954
