tx_count_1min,window_start,ewma,residual,z_score,is_anomaly
630,2025-05-11 00:23:00,630.0,0.0,0.0,0
1653,2025-05-11 02:26:00,1231.764705882353,421.2352941176471,0.4483850885621602,0
2347,2025-05-11 02:39:00,1741.0045662100456,605.9954337899544,0.6450535366874665,0
1673,2025-05-11 15:49:00,1714.1571259376235,-41.157125937623505,-0.04380981797159475,0
517,2025-05-11 15:51:00,1282.4535718149364,-765.4535718149364,-0.8147891982968657,0
1810,2025-05-11 15:59:00,1461.8197520034546,348.1802479965454,0.37062144011589726,0
620,2025-05-11 17:23:00,1186.6090409403107,-566.6090409403107,-0.6031285805106007,0
3380,2025-05-11 17:27:00,1884.8802757873946,1495.1197242126054,1.591484377766475,0
582,2025-05-11 22:30:00,1477.5801644262524,-895.5801644262524,-0.9533028142428774,0
3418,2025-05-11 22:58:00,2076.6277260105126,1341.3722739894874,1.4278274737814889,0
2065,2025-05-12 03:27:00,2073.0690413845505,-8.069041384550474,-0.008589113700460522,0
1935,2025-05-12 03:41:00,2031.0669661832867,-96.0669661832867,-0.10225875120511771,0
502,2025-05-12 20:48:00,1567.858899206105,-1065.858899206105,-1.1345564903728573,0
3498,2025-05-12 21:13:00,2150.8552451765113,1347.1447548234887,1.4339720071720223,0
1118,2025-05-12 21:57:00,1839.520591203645,-721.5205912036449,-0.7680246140436482,0
2882,2025-05-12 22:00:00,2153.3072187632874,728.6927812367126,0.7756590718112433,0
1246,2025-05-13 04:15:00,1880.4803746445325,-634.4803746445325,-0.6753744117568777,0
2754,2025-05-13 04:23:00,2142.9636936570773,611.0363063429227,0.6504193075942651,0
3056,2025-05-14 17:04:00,2417.1871700264046,638.8128299735954,0.6799861059656516,0
4944,2025-05-14 17:09:00,3175.8363624023286,1768.1636375976714,1.8821267360735363,0
300,2025-05-14 18:14:00,2312.603298424005,-2012.603298424005,-2.1423212176335475,1
2800,2025-05-14 19:23:00,2458.8795002740935,341.1204997259065,0.36310667129723107,0
