timestamp,price_usd,market_cap_usd,24h_volume_usd,24h_change_percent
2025-05-10 16:42:41.458264,103249.71,2050820415477.2493,7214.91166076,0.04138900969731671
2025-05-10 16:43:03.376818,103249.93,2050833895836.4006,7215.77544389,0.04204659718946316
2025-05-10 16:43:22.610226,103265.32,2051082929717.1284,7217.49840773,0.05419475757955074
2025-05-10 16:43:44.251015,103266.6,2051184651126.5059,7219.29925962,0.0591568454392839
2025-05-10 16:44:05.440790,103270.0,2051485797023.3154,7234.69680145,0.07384709017453187
2025-05-10 16:44:26.154578,103295.16,2051750732526.3792,7239.29586826,0.08677095007199422
2025-05-10 16:44:47.868454,103295.24,2051764552139.3418,7240.36358575,0.0874450867569636
2025-05-10 16:45:10.531657,103294.11,2051729928552.4937,7240.70799813,0.08575610819275555
2025-05-10 16:45:32.427806,103284.2,2051534224077.5745,7242.49464152,0.07620941782502957
2025-05-10 16:45:53.466236,103293.05,2051728240347.6938,7243.03696555,0.08567375561235728
2025-05-10 16:46:15.697144,103293.85,2051729359386.002,7243.49835644,0.08564772278273247
