user_id,event_name,timestamp,campaign,device
user_ccb5a92b,clicked,2025-01-13 02:40:26,Black Friday,iPhone
user_ccb5a92b,email_opened,2025-03-28 02:40:26,Black Friday,iPhone
user_ccb5a92b,email_opened,2025-02-06 02:40:26,Summer Promo,Web
user_ccb5a92b,app_login,2025-04-19 02:40:26,Black Friday,iPhone
user_ccb5a92b,clicked,2025-02-07 02:40:26,Summer Promo,iPhone
user_ccb5a92b,email_opened,2024-11-19 02:40:26,Spring Sale,iPhone
user_ccb5a92b,clicked,2024-11-15 02:40:27,Spring Sale,Android
user_ccb5a92b,app_login,2024-11-25 02:40:27,Summer Promo,iPhone
user_ccb5a92b,app_login,2025-04-09 02:40:27,Black Friday,Web
user_ccb5a92b,app_login,2024-12-16 02:40:27,Summer Promo,iPhone
user_ccb5a92b,app_login,2025-01-09 02:40:27,Black Friday,Web
user_ccb5a92b,clicked,2024-12-23 02:40:27,Black Friday,Android
user_ccb5a92b,clicked,2024-11-17 02:40:27,Summer Promo,Web
user_ccb5a92b,clicked,2024-12-30 02:40:27,Black Friday,iPhone
user_ccb5a92b,clicked,2025-03-27 02:40:27,Summer Promo,Web
user_ccb5a92b,email_opened,2024-12-07 02:40:27,Spring Sale,iPhone
user_ccb5a92b,email_opened,2024-12-24 02:40:27,Spring Sale,Android
user_ccb5a92b,email_opened,2024-12-29 02:40:27,Black Friday,Android
user_ccb5a92b,app_login,2025-02-17 02:40:27,Summer Promo,Web
user_ccb5a92b,email_opened,2025-02-23 02:40:27,Spring Sale,Web
user_ccb5a92b,email_opened,2025-03-17 02:40:27,Black Friday,iPhone
user_ccb5a92b,email_opened,2024-12-28 02:40:27,Summer Promo,Web
user_ccb5a92b,app_login,2025-04-20 02:40:27,Black Friday,Android
user_ccb5a92b,clicked,2025-01-09 02:40:27,Black Friday,Web
user_ccb5a92b,email_opened,2024-11-07 02:40:27,Spring Sale,Web
user_ccb5a92b,email_opened,2024-12-31 02:40:27,Summer Promo,iPhone
user_ccb5a92b,email_opened,2025-02-14 02:40:27,Black Friday,Web
user_ccb5a92b,app_login,2024-11-23 02:40:27,Spring Sale,Web
user_ccb5a92b,email_opened,2024-11-29 02:40:27,Spring Sale,Android
user_ccb5a92b,email_opened,2024-12-24 02:40:27,Black Friday,Android
user_ccb5a92b,clicked,2025-01-27 02:40:27,Spring Sale,iPhone
user_ccb5a92b,app_login,2025-02-04 02:40:28,Spring Sale,Web
user_ccb5a92b,clicked,2024-11-22 02:40:28,Summer Promo,Android
user_0a7f9b42,app_login,2025-03-08 02:40:28,Black Friday,Android
user_0a7f9b42,clicked,2025-02-12 02:40:28,Summer Promo,Web
user_0a7f9b42,clicked,2025-02-24 02:40:28,Spring Sale,iPhone
user_0a7f9b42,clicked,2025-02-19 02:40:28,Black Friday,iPhone
user_0a7f9b42,app_login,2025-02-23 02:40:28,Black Friday,iPhone
user_0a7f9b42,app_login,2025-04-27 02:40:28,Spring Sale,iPhone
user_0a7f9b42,clicked,2025-02-08 02:40:28,Black Friday,iPhone
user_0a7f9b42,app_login,2024-11-14 02:40:29,Black Friday,Web
user_0a7f9b42,clicked,2024-12-12 02:40:29,Spring Sale,Web
user_0a7f9b42,app_login,2024-11-10 02:40:29,Black Friday,Android
user_0a7f9b42,app_login,2025-02-07 02:40:29,Spring Sale,iPhone
user_0a7f9b42,app_login,2024-12-31 02:40:29,Summer Promo,iPhone
user_0a7f9b42,clicked,2024-12-03 02:40:29,Black Friday,iPhone
user_0a7f9b42,email_opened,2025-04-13 02:40:29,Spring Sale,iPhone
user_0a7f9b42,clicked,2024-12-16 02:40:29,Black Friday,iPhone
user_0a7f9b42,email_opened,2024-12-28 02:40:29,Black Friday,Web
user_0a7f9b42,clicked,2025-02-17 02:40:29,Summer Promo,Web
user_0a7f9b42,clicked,2025-02-20 02:40:29,Spring Sale,Web
user_0a7f9b42,clicked,2024-11-28 02:40:29,Summer Promo,Web
user_0a7f9b42,app_login,2025-01-21 02:40:29,Black Friday,Android
user_0a7f9b42,email_opened,2025-01-01 02:40:29,Spring Sale,Android
user_0a7f9b42,app_login,2025-04-05 02:40:29,Black Friday,Android
user_0a7f9b42,email_opened,2025-02-08 02:40:29,Summer Promo,iPhone
