timestamp,price,date,hour
2025-04-08,78569.0102261324,2025-04-08,0
2025-04-09,78227.20253193982,2025-04-09,0
2025-04-10,81046.76008079464,2025-04-10,0
2025-04-11,81935.23871072991,2025-04-11,0
2025-04-12,84059.7553491716,2025-04-12,0
2025-04-13,84494.03911479721,2025-04-13,0
2025-04-14,84650.12675580647,2025-04-14,0
2025-04-15,85035.39996452969,2025-04-15,0
2025-04-16,83992.83280493198,2025-04-16,0
2025-04-17,84565.77895855125,2025-04-17,0
2025-04-18,84633.45187606933,2025-04-18,0
2025-04-19,85071.920422981,2025-04-19,0
2025-04-20,84760.03945138013,2025-04-20,0
2025-04-21,87215.46645955519,2025-04-21,0
2025-04-22,89583.33284216061,2025-04-22,0
2025-04-23,93508.02056977352,2025-04-23,0
2025-04-24,93002.94114796243,2025-04-24,0
2025-04-25,94246.06118469103,2025-04-25,0
2025-04-26,94508.89385984534,2025-04-26,0
2025-04-27,94170.93812100384,2025-04-27,0
2025-04-28,94328.54524557048,2025-04-28,0
2025-04-29,94891.34349061675,2025-04-29,0
2025-04-30,94493.93694257808,2025-04-30,0
2025-05-01,95793.5336733507,2025-05-01,0
2025-05-02,96969.20012845281,2025-05-02,0
2025-05-03,96346.7648095721,2025-05-03,0
2025-05-04,95639.0960490146,2025-05-04,0
2025-05-05,94379.85206937086,2025-05-05,0
2025-05-06,94496.53932456249,2025-05-06,0
2025-05-07,96804.66210702073,2025-05-07,0
2025-05-08,97905.08608847857,2025-05-08,0
