S.No,timestamp,price_usd
1,2025-04-20 16:45:45.796848,85108
2,2025-04-20 16:47:45.939260,85130
3,2025-04-20 16:49:46.058583,85165
4,2025-04-20 16:51:46.267898,85166
5,2025-04-20 16:52:46.332519,85142
6,2025-04-20 16:53:46.401492,85136
7,2025-04-20 16:54:46.471170,85135
8,2025-04-20 16:56:46.615703,85110
9,2025-04-20 16:58:46.740608,85104
10,2025-04-20 17:00:46.898069,85071
11,2025-04-20 17:03:47.146064,85083
12,2025-04-20 17:05:47.322661,85086
13,2025-04-20 17:07:47.472942,85068
14,2025-04-20 17:09:47.601494,85063
15,2025-04-20 17:11:47.776300,85028
16,2025-04-20 17:13:47.914877,85006
17,2025-04-20 17:15:48.083002,84999
18,2025-04-20 17:17:48.217840,84985
19,2025-04-20 17:44:05.872857,85079
20,2025-04-20 17:46:06.006952,85078
21,2025-04-20 17:48:06.140981,85094
22,2025-04-20 17:50:06.282946,85100
23,2025-04-20 17:52:06.425017,85084
24,2025-04-20 17:54:06.560874,85093
25,2025-04-20 17:56:06.701177,85066
26,2025-04-20 17:58:06.825087,85055
27,2025-04-20 18:00:06.977343,85026
28,2025-04-20 18:02:07.111234,85007
29,2025-04-20 18:04:07.235256,84973
30,2025-04-20 18:05:07.311752,84942
31,2025-04-20 18:06:07.406500,84929
32,2025-04-20 18:07:07.473431,84919
33,2025-04-20 18:08:07.553370,84908
34,2025-04-20 18:09:07.614237,84885
35,2025-04-20 18:10:07.688318,84875
36,2025-04-20 18:11:07.758668,84867
37,2025-04-20 18:12:07.833435,84864
38,2025-04-20 18:13:07.933895,84853
39,2025-04-20 18:14:08.000305,84865
40,2025-04-20 18:18:34.505197,84871
41,2025-04-20 18:18:44.583412,84863
42,2025-04-20 18:18:54.659599,84863
43,2025-04-20 18:19:04.733740,84863
44,2025-04-20 18:19:14.813334,84863
45,2025-04-20 18:20:39.903969,84850
46,2025-04-20 18:20:50.093960,84852
47,2025-04-20 18:21:00.209848,84852
48,2025-04-20 18:21:10.320043,84852
49,2025-04-20 18:21:20.421545,84852
50,2025-04-20 18:21:30.508020,84852
51,2025-04-20 18:21:40.612033,84852
52,2025-04-20 18:22:51.233285,84822
53,2025-04-20 18:23:01.339144,84822
54,2025-04-20 18:23:11.433626,84822
55,2025-04-20 18:23:21.551368,84822
56,2025-04-20 18:23:31.652422,84822
57,2025-04-20 18:23:41.753034,84822
58,2025-04-20 18:24:52.377261,84777
59,2025-04-20 18:25:02.463799,84777
60,2025-04-20 18:25:12.559176,84777
61,2025-04-20 18:25:22.652129,84777
62,2025-04-20 18:25:32.763330,84777
63,2025-04-20 18:25:42.866355,84777
64,2025-04-20 18:26:53.517110,84746
65,2025-04-20 18:27:03.627975,84746
66,2025-04-20 18:27:13.768938,84746
67,2025-04-20 18:27:23.878741,84746
68,2025-04-20 18:27:34.002203,84746
69,2025-04-20 18:27:44.112794,84746
70,2025-04-20 18:28:54.735186,84745
71,2025-04-20 18:29:04.830164,84749
72,2025-04-20 18:29:14.951393,84749
73,2025-04-20 18:29:25.063979,84749
74,2025-04-20 18:29:35.185069,84749
75,2025-04-20 18:29:45.300549,84749
76,2025-04-20 18:30:56.041131,84749
77,2025-04-20 18:31:06.156213,84746
78,2025-04-20 18:31:16.256566,84746
79,2025-04-20 18:31:26.345578,84746
80,2025-04-20 18:31:36.454881,84746
81,2025-04-20 18:31:46.559132,84746
82,2025-04-20 18:32:57.252145,84739
83,2025-04-20 18:33:07.356534,84737
84,2025-04-20 18:33:17.454916,84737
85,2025-04-20 18:33:27.548862,84737
86,2025-04-20 18:33:37.645355,84737
87,2025-04-20 18:33:47.760023,84737
88,2025-04-20 18:34:58.400640,84736
89,2025-04-20 18:35:08.492074,84738
90,2025-04-20 18:35:18.613143,84738
