Datetime,Close_diff
2024-05-17 21:00:00+00:00,-94.09375
2024-05-17 22:00:00+00:00,-66.8203125
2024-05-17 23:00:00+00:00,212.9375
2024-05-18 00:00:00+00:00,-72.4453125
2024-05-18 01:00:00+00:00,59.03125
2024-05-18 02:00:00+00:00,-56.9609375
2024-05-18 03:00:00+00:00,39.2890625
2024-05-18 04:00:00+00:00,-70.2421875
2024-05-18 05:00:00+00:00,-22.4609375
2024-05-18 06:00:00+00:00,57.4140625
2024-05-18 07:00:00+00:00,-45.1953125
2024-05-18 08:00:00+00:00,143.390625
2024-05-18 09:00:00+00:00,98.8125
2024-05-18 10:00:00+00:00,100.5859375
2024-05-18 11:00:00+00:00,-8.5859375
2024-05-18 12:00:00+00:00,-237.4375
2024-05-18 13:00:00+00:00,-65.2734375
2024-05-18 14:00:00+00:00,-84.53125
2024-05-18 15:00:00+00:00,37.8515625
2024-05-18 16:00:00+00:00,20.609375
2024-05-18 17:00:00+00:00,-41.6171875
2024-05-18 18:00:00+00:00,-27.8125
2024-05-18 19:00:00+00:00,111.2578125
2024-05-18 20:00:00+00:00,66.25
2024-05-18 21:00:00+00:00,-93.4609375
2024-05-18 22:00:00+00:00,29.3515625
2024-05-18 23:00:00+00:00,-1.6171875
2024-05-19 00:00:00+00:00,-40.2734375
2024-05-19 01:00:00+00:00,37.7109375
2024-05-19 02:00:00+00:00,255.21875
2024-05-19 03:00:00+00:00,-24.3046875
2024-05-19 04:00:00+00:00,-22.375
2024-05-19 05:00:00+00:00,-17.734375
2024-05-19 06:00:00+00:00,-107.78125
2024-05-19 07:00:00+00:00,312.8046875
2024-05-19 08:00:00+00:00,-148.6171875
2024-05-19 09:00:00+00:00,1.5859375
2024-05-19 10:00:00+00:00,92.6171875
2024-05-19 11:00:00+00:00,50.984375
2024-05-19 12:00:00+00:00,-446.4765625
2024-05-19 13:00:00+00:00,136.296875
2024-05-19 14:00:00+00:00,-83.453125
2024-05-19 15:00:00+00:00,-40.75
2024-05-19 16:00:00+00:00,-229.1328125
2024-05-19 17:00:00+00:00,65.75
2024-05-19 18:00:00+00:00,-164.7265625
2024-05-19 19:00:00+00:00,-526.4921875
2024-05-19 20:00:00+00:00,115.5078125
