timestamp,price,price_diff,rolling_avg
2025-05-16 18:37:41.785580,103999,,
2025-05-16 18:55:07.655319,103891,-108.0,
2025-05-16 18:58:26.520632,103843,-48.0,
2025-05-16 18:58:31.652219,103843,0.0,
2025-05-16 18:58:36.841423,103843,0.0,103883.8
2025-05-16 18:58:41.953313,103843,0.0,103852.6
2025-05-16 18:58:47.072010,103843,0.0,103843.0
2025-05-16 18:59:53.542715,103828,-15.0,103840.0
2025-05-16 18:59:58.683104,103828,0.0,103837.0
2025-05-16 19:00:03.795446,103828,0.0,103834.0
2025-05-16 19:00:08.905084,103828,0.0,103831.0
2025-05-16 19:00:14.040845,103828,0.0,103828.0
2025-05-16 19:00:19.179552,103828,0.0,103828.0
2025-05-16 19:02:33.631149,103803,-25.0,103823.0
2025-05-16 19:02:43.760826,103803,0.0,103818.0
2025-05-16 19:02:53.865287,103803,0.0,103813.0
2025-05-16 19:03:04.004372,103803,0.0,103808.0
2025-05-16 19:03:14.119428,103803,0.0,103803.0
2025-05-16 19:03:24.225636,103803,0.0,103803.0
2025-05-16 19:03:34.330820,103802,-1.0,103802.8
2025-05-16 19:03:44.454134,103802,0.0,103802.6
2025-05-16 19:09:14.997576,103817,15.0,103805.4
2025-05-16 19:09:17.021594,103817,0.0,103808.2
2025-05-16 19:09:27.129906,103804,-13.0,103808.4
2025-05-16 19:09:37.248071,103804,0.0,103808.8
2025-05-16 19:10:47.974103,103792,-12.0,103806.8
2025-05-16 19:10:58.092985,103777,-15.0,103798.8
2025-05-16 19:11:08.211108,103777,0.0,103790.8
2025-05-16 19:12:58.162699,103782,5.0,103786.4
2025-05-16 19:16:25.474722,103781,-1.0,103781.8
2025-05-16 19:16:35.574021,103781,0.0,103779.6
2025-05-16 19:16:45.712127,103775,-6.0,103779.2
2025-05-16 19:16:55.816919,103775,0.0,103778.8
2025-05-16 19:17:05.927305,103775,0.0,103777.4
2025-05-16 19:17:16.034370,103775,0.0,103776.2
2025-05-16 19:17:26.152478,103775,0.0,103775.0
2025-05-16 19:17:36.265806,103775,0.0,103775.0
2025-05-16 19:17:46.375374,103766,-9.0,103773.2
