timestamp,arima_pred,sarima_pred
2025-05-12 15:00:00,103427.55154609295,103652.4972902764
2025-05-12 16:00:00,103475.74103801824,103484.06939053019
2025-05-12 17:00:00,103494.25120365713,103520.7335318746
2025-05-12 18:00:00,103489.48141815426,103653.44865754456
2025-05-12 19:00:00,103487.02311378012,103827.38233924037
2025-05-12 20:00:00,103487.4622211192,103773.31249764646
2025-05-12 21:00:00,103487.77845989565,103752.03163651175
2025-05-12 22:00:00,103487.74277555819,103683.07329591848
2025-05-12 23:00:00,103487.70319078203,103770.8787186325
2025-05-13 00:00:00,103487.70535880326,104054.97324922995
2025-05-13 01:00:00,103487.71019261243,104012.34420768147
2025-05-13 02:00:00,103487.71018891387,103894.37408178653
2025-05-13 03:00:00,103487.70961240318,103818.56916658315
2025-05-13 04:00:00,103487.70958245677,103909.09537459041
2025-05-13 05:00:00,103487.70964961337,103829.40668650273
2025-05-13 06:00:00,103487.70965672353,103997.93505469443
2025-05-13 07:00:00,103487.70964909148,104581.07285819786
2025-05-13 08:00:00,103487.70964784149,104221.11623043606
2025-05-13 09:00:00,103487.70964868554,104270.01603747456
2025-05-13 10:00:00,103487.70964887907,104268.47010944819
2025-05-13 11:00:00,103487.70964878864,104194.31057503243
2025-05-13 12:00:00,103487.7096487608,104030.77132395182
2025-05-13 13:00:00,103487.70964877012,104096.3647623954
2025-05-13 14:00:00,103487.70964877393,103714.74567044922
2025-05-13 15:00:00,103487.70964877302,103830.52519827092
2025-05-13 16:00:00,103487.7096487725,103690.22099622732
2025-05-13 17:00:00,103487.7096487726,103744.62297884266
2025-05-13 18:00:00,103487.70964877265,103847.14566873443
2025-05-13 19:00:00,103487.70964877265,103978.55114604987
2025-05-13 20:00:00,103487.70964877264,103963.58714247408
2025-05-13 21:00:00,103487.70964877264,103984.50808279689
2025-05-13 22:00:00,103487.70964877264,103966.57270638399
2025-05-13 23:00:00,103487.70964877264,104077.13536023554
2025-05-14 00:00:00,103487.70964877264,104307.14052529856
2025-05-14 01:00:00,103487.70964877264,104280.87681015155
2025-05-14 02:00:00,103487.70964877264,104216.33201938482
2025-05-14 03:00:00,103487.70964877264,104146.97381888247
2025-05-14 04:00:00,103487.70964877264,104235.95976260358
2025-05-14 05:00:00,103487.70964877264,104160.51265178056
2025-05-14 06:00:00,103487.70964877264,104307.40030733262
2025-05-14 07:00:00,103487.70964877264,104786.90510349078
2025-05-14 08:00:00,103487.70964877264,104528.17597326246
2025-05-14 09:00:00,103487.70964877264,104566.50847596291
2025-05-14 10:00:00,103487.70964877264,104596.97023828077
2025-05-14 11:00:00,103487.70964877264,104526.51770800354
2025-05-14 12:00:00,103487.70964877264,104408.71262150537
2025-05-14 13:00:00,103487.70964877264,104443.98346544195
2025-05-14 14:00:00,103487.70964877264,104116.92859430086
2025-05-14 15:00:00,103487.70964877264,104239.78915190969
2025-05-14 16:00:00,103487.70964877264,104107.52073520559
2025-05-14 17:00:00,103487.70964877264,104166.99095196101
2025-05-14 18:00:00,103487.70964877264,104260.88675589496
2025-05-14 19:00:00,103487.70964877264,104380.14064756571
2025-05-14 20:00:00,103487.70964877264,104376.35035674849
2025-05-14 21:00:00,103487.70964877264,104409.32961959498
2025-05-14 22:00:00,103487.70964877264,104405.97303690542
2025-05-14 23:00:00,103487.70964877264,104523.03811537687
2025-05-15 00:00:00,103487.70964877264,104737.58832372738
2025-05-15 01:00:00,103487.70964877264,104716.00067398844
2025-05-15 02:00:00,103487.70964877264,104666.72110649804
2025-05-15 03:00:00,103487.70964877264,104599.20492606114
2025-05-15 04:00:00,103487.70964877264,104687.75077000233
2025-05-15 05:00:00,103487.70964877264,104613.51560523135
2025-05-15 06:00:00,103487.70964877264,104754.21985904136
2025-05-15 07:00:00,103487.70964877264,105204.11359160722
2025-05-15 08:00:00,103487.70964877264,104974.30819855048
2025-05-15 09:00:00,103487.70964877264,105009.6213049334
2025-05-15 10:00:00,103487.70964877264,105049.22862597338
2025-05-15 11:00:00,103487.70964877264,104979.83529814616
2025-05-15 12:00:00,103487.70964877264,104875.09783643746
2025-05-15 13:00:00,103487.70964877264,104901.70460415709
2025-05-15 14:00:00,103487.70964877264,104590.24037014515
2025-05-15 15:00:00,103487.70964877264,104715.12419069595
2025-05-15 16:00:00,103487.70964877264,104585.15183927836
2025-05-15 17:00:00,103487.70964877264,104646.07020278998
2025-05-15 18:00:00,103487.70964877264,104737.50104623263
2025-05-15 19:00:00,103487.70964877264,104853.2828648208
2025-05-15 20:00:00,103487.70964877264,104852.68523942487
2025-05-15 21:00:00,103487.70964877264,104889.10992727842
2025-05-15 22:00:00,103487.70964877264,104889.91894393889
2025-05-15 23:00:00,103487.70964877264,105008.84196047328
2025-05-16 00:00:00,103487.70964877264,105218.97622338562
2025-05-16 01:00:00,103487.70964877264,105198.72466601444
2025-05-16 02:00:00,103487.70964877264,105153.80683141944
2025-05-16 03:00:00,103487.70964877264,105086.81697145411
2025-05-16 04:00:00,103487.70964877264,105175.23706566649
2025-05-16 05:00:00,103487.70964877264,105101.34819029247
2025-05-16 06:00:00,103487.70964877264,105240.28566045997
2025-05-16 07:00:00,103487.70964877264,105681.7186225674
2025-05-16 08:00:00,103487.70964877264,105460.1776101617
2025-05-16 09:00:00,103487.70964877264,105494.62798430651
2025-05-16 10:00:00,103487.70964877264,105536.84846622875
2025-05-16 11:00:00,103487.70964877264,105467.75778436262
2025-05-16 12:00:00,103487.70964877264,105366.75413564027
2025-05-16 13:00:00,103487.70964877264,105390.88531649426
