timestamp,actual,symbolic_pred
2025-05-12 22:00:00,102732.71666666666,101766.17721238811
2025-05-12 23:00:00,102946.38333333333,101982.51790673219
2025-05-13 00:00:00,102481.85,102184.29197848706
2025-05-13 01:00:00,102457.61666666667,102371.99640562572
2025-05-13 02:00:00,102103.48333333334,102546.12341754997
2025-05-13 03:00:00,101821.1,102707.16037625227
2025-05-13 04:00:00,102300.15,102855.5896574773
2025-05-13 05:00:00,102495.55,102991.88853188355
2025-05-13 06:00:00,102520.43333333333,103116.52904620525
2025-05-13 07:00:00,102728.3,103229.97790441381
2025-05-13 08:00:00,102756.31666666667,103332.69634887963
2025-05-13 09:00:00,103219.85,103425.14004153384
2025-05-13 10:00:00,103457.51666666666,103507.75894502974
2025-05-13 11:00:00,103642.38333333333,103580.9972039048
2025-05-13 12:00:00,103704.81666666667,103645.29302574201
2025-05-13 13:00:00,103694.75,103701.07856233185
2025-05-13 14:00:00,103251.01666666666,103748.77979083384
2025-05-13 15:00:00,103582.63333333333,103788.81639493816
2025-05-13 16:00:00,104012.6,103821.60164602747
2025-05-13 17:00:00,103985.6,103847.54228433849
2025-05-13 18:00:00,104333.71666666666,103867.0384001237
2025-05-13 19:00:00,104580.63333333333,103880.48331481307
2025-05-13 20:00:00,104600.61666666667,103888.26346217567
2025-05-13 21:00:00,104446.3,103890.75826948142
2025-05-13 22:00:00,104252.58333333333,103888.34003866272
2025-05-13 23:00:00,104121.95,103881.37382747614
2025-05-14 00:00:00,103937.2,103870.2173306641
2025-05-14 01:00:00,103926.43333333333,103855.22076111662
2025-05-14 02:00:00,103674.76666666666,103836.72673103288
2025-05-14 03:00:00,103584.15,103815.07013308296
2025-05-14 04:00:00,103653.11666666667,103790.5780215696
2025-05-14 05:00:00,103818.08333333333,103763.56949358966
2025-05-14 06:00:00,103789.1,103734.35557019612
2025-05-14 07:00:00,103623.66666666667,103703.23907755945
2025-05-14 08:00:00,103619.06666666667,103670.51452812948
2025-05-14 09:00:00,103232.26666666666,103636.46800179708
2025-05-14 10:00:00,103713.18333333333,103601.37702705566
2025-05-14 11:00:00,103936.21666666666,103565.51046216309
2025-05-14 12:00:00,104065.4,103529.12837630326
2025-05-14 13:00:00,103973.93333333333,103492.48193074767
2025-05-14 14:00:00,103371.8,103455.8132600174
2025-05-14 15:00:00,103311.26666666666,103419.35535304443
2025-05-14 16:00:00,103460.28333333334,103383.33193433359
2025-05-14 17:00:00,103094.95,103347.95734512409
2025-05-14 18:00:00,103299.66666666667,103313.4364245513
2025-05-14 19:00:00,103522.35,103279.96439080837
2025-05-14 20:00:00,103475.93333333333,103247.72672230797
2025-05-14 21:00:00,103574.95,103216.89903884383
2025-05-14 22:00:00,103523.91666666667,103187.64698275266
2025-05-14 23:00:00,103550.83333333333,103160.12610007558
2025-05-15 00:00:00,103756.71666666666,103134.48172171993
2025-05-15 01:00:00,103450.58333333333,103110.848844621
2025-05-15 02:00:00,103072.2,103089.35201290359
2025-05-15 03:00:00,102920.43333333333,103070.10519904376
2025-05-15 04:00:00,102861.35,103053.21168503047
2025-05-15 05:00:00,102574.7,103038.76394352737
2025-05-15 06:00:00,102434.7,103026.8435190343
2025-05-15 07:00:00,102022.16666666667,103017.52090904911
2025-05-15 08:00:00,102130.91666666667,103010.85544522939
2025-05-15 09:00:00,101925.41666666667,103006.89517455388
2025-05-15 10:00:00,101780.8,103005.67674048452
2025-05-15 11:00:00,102223.2,103007.22526412777
2025-05-15 12:00:00,102547.03333333334,103011.55422539661
2025-05-15 13:00:00,102440.4,103018.66534417206
2025-05-15 14:00:00,101956.1,103028.54846146476
2025-05-15 15:00:00,102583.83333333333,103041.18142057688
2025-05-15 16:00:00,103372.28333333334,103056.52994826368
2025-05-15 17:00:00,103949.38333333333,103074.54753589515
2025-05-15 18:00:00,103482.15,103095.17532061781
2025-05-15 19:00:00,103017.88333333333,103118.34196651624
2025-05-15 20:00:00,103328.2,103143.96354577492
2025-05-15 21:00:00,103150.75,103171.9434198398
