93905.48650684742,1.745542599375E9,2025-04-25 00:56:39
93753.58965588863,1.745546168237E9,2025-04-25 01:56:08
93227.53431916381,1.745549762782E9,2025-04-25 02:56:02
93371.58864826172,1.745553376675E9,2025-04-25 03:56:16
93145.68196365186,1.745556974063E9,2025-04-25 04:56:14
93283.04696971561,1.745560529134E9,2025-04-25 05:55:29
93584.09278760613,1.745564212624E9,2025-04-25 06:56:52
93735.40303509131,1.745567822713E9,2025-04-25 07:57:02
93718.31138515295,1.745571414956E9,2025-04-25 08:56:54
93792.14981915783,1.74557497932E9,2025-04-25 09:56:19
93658.34740603408,1.7455785555E9,2025-04-25 10:55:55
94380.47210490637,1.745582140547E9,2025-04-25 11:55:40
94563.96638325788,1.745585829528E9,2025-04-25 12:57:09
94482.50093435182,1.74558942979E9,2025-04-25 13:57:09
95475.77603690645,1.745592960563E9,2025-04-25 14:56:00
95116.71908593502,1.7455965255E9,2025-04-25 15:55:25
95308.16199427302,1.745600124214E9,2025-04-25 16:55:24
94609.42608365342,1.745603806338E9,2025-04-25 17:56:46
