price,timestamp,price_date
62363.057191718624,1.7151264E9,2024-05-08
63797.67963589958,1.7144352E9,2024-04-30
70600.01116676089,1.7175456E9,2024-06-05
71184.59943059199,1.717632E9,2024-06-06
64486.183359158975,1.7140896E9,2024-04-26
69325.36238847222,1.7178048E9,2024-06-08
67740.01690222476,1.7173728E9,2024-06-03
64010.00865210892,1.7149536E9,2024-05-06
67906.46534276106,1.7165088E9,2024-05-24
69181.20085677762,1.7164224E9,2024-05-23
70759.58819301432,1.7177184E9,2024-06-07
63172.48129551341,1.71504E9,2024-05-07
67704.32641811523,1.7172864E9,2024-06-02
69367.23871755725,1.7168544E9,2024-05-28
58297.574075325494,1.714608E9,2024-05-02
67474.95483698409,1.7172E9,2024-06-01
59135.1733607733,1.7146944E9,2024-05-03
61569.1130057734,1.7157312E9,2024-05-15
67053.12326509564,1.7159904E9,2024-05-18
69268.44558973772,1.7166816E9,2024-05-26
63148.599943097026,1.7152992E9,2024-05-10
68808.29368590549,1.7174592E9,2024-06-04
60888.21674957157,1.7153856E9,2024-05-11
63030.433616681854,1.7143488E9,2024-04-29
71430.29700215145,1.7162496E9,2024-05-21
70189.8358177002,1.716336E9,2024-05-22
68316.63588049631,1.7169408E9,2024-05-29
63517.248743409626,1.7142624E9,2024-04-28
60749.47209216387,1.7145216E9,2024-05-01
67577.26558995963,1.7170272E9,2024-05-30
60776.972079172134,1.715472E9,2024-05-12
66912.61861403697,1.7160768E9,2024-05-19
63820.451902924986,1.7148672E9,2024-05-05
66220.51831432826,1.7158176E9,2024-05-16
68372.49288434093,1.7171136E9,2024-05-31
64279.51812857524,1.7140032E9,2024-04-25
68508.83110875699,1.716768E9,2024-05-27
62839.34073569376,1.7147808E9,2024-05-04
62878.783300729294,1.7156448E9,2024-05-14
63802.330049258766,1.714176E9,2024-04-27
61507.054004121346,1.7155584E9,2024-05-13
65260.879803346186,1.715904E9,2024-05-17
66252.71259591613,1.7161632E9,2024-05-20
61215.50400879193,1.7152128E9,2024-05-09
68539.91646552991,1.7165952E9,2024-05-25
60244.68076433092,1.7200512E9,2024-07-04
67607.71339918874,1.7216928E9,2024-07-23
69654.16073760358,1.7179776E9,2024-06-10
67206.06470614894,1.72152E9,2024-07-21
69315.1041233966,1.7178912E9,2024-06-09
60749.89619402014,1.7194464E9,2024-06-27
63221.35738437477,1.7191872E9,2024-06-24
66460.38897909952,1.7186688E9,2024-06-18
57189.17412408636,1.7201376E9,2024-07-05
57988.30351208401,1.7205696E9,2024-07-10
56665.140733520275,1.7204832E9,2024-07-09
63959.56900809379,1.7213472E9,2024-07-19
66615.53782131766,1.7185824E9,2024-06-17
55880.3753776708,1.7203968E9,2024-07-08
57704.202284462874,1.720656E9,2024-07-11
66689.54880734957,1.7214336E9,2024-07-20
61770.413870095355,1.71936E9,2024-06-26
64071.624284709695,1.7190144E9,2024-06-22
57899.28895749592,1.7208288E9,2024-07-13
62042.5650371006,1.7199648E9,2024-07-03
65162.23625234354,1.7211744E9,2024-07-17
58230.4841542266,1.7203104E9,2024-07-07
68088.13996324532,1.7216064E9,2024-07-22
69493.17760915738,1.718064E9,2024-06-11
64239.90348813148,1.7191008E9,2024-06-23
60317.09697945116,1.7196192E9,2024-06-29
64844.67441797763,1.718928E9,2024-06-21
59152.71913887286,1.7209152E9,2024-07-14
60363.23497529626,1.7192736E9,2024-06-25
66700.31696564378,1.7183232E9,2024-06-14
64136.31384360687,1.7212608E9,2024-07-18
60864.44316193428,1.7197056E9,2024-06-30
68224.51967501991,1.7182368E9,2024-06-13
64907.07460760319,1.7188416E9,2024-06-20
56739.86285107204,1.720224E9,2024-07-06
60942.32773996293,1.7210016E9,2024-07-15
62734.39383945474,1.719792E9,2024-07-01
66190.4874891135,1.718496E9,2024-06-16
62819.82226921849,1.7198784E9,2024-07-02
57388.192479166675,1.7207424E9,2024-07-12
64835.48973321571,1.721088E9,2024-07-16
61562.64532550036,1.7195328E9,2024-06-28
67329.15232724321,1.7181504E9,2024-06-12
65109.314812190474,1.7187552E9,2024-06-19
66011.07873713733,1.7184096E9,2024-06-15
61407.29547397454,1.7226432E9,2024-08-03
62922.58634676265,1.7247168E9,2024-08-27
64049.68561555576,1.7244576E9,2024-08-24
53956.26184159744,1.7229024E9,2024-08-06
67920.2964857025,1.7220384E9,2024-07-27
60912.588533350805,1.723248E9,2024-08-10
65357.52960767435,1.7225568E9,2024-08-02
59574.945812940874,1.724112E9,2024-08-20
58804.23449992608,1.7234208E9,2024-08-12
61144.68762866613,1.7242848E9,2024-08-22
56132.404732088595,1.7255808E9,2024-09-06
58006.206586686734,1.722816E9,2024-08-05
61859.03159904161,1.7231616E9,2024-08-09
57357.71617282246,1.7252352E9,2024-09-02
60738.7449250574,1.7227296E9,2024-08-04
64265.81631272862,1.7246304E9,2024-08-26
59015.29633887944,1.7248896E9,2024-08-29
58739.19382231015,1.72368E9,2024-08-15
55099.95181146735,1.7230752E9,2024-08-08
65942.41746522837,1.7217792E9,2024-07-24
64679.778647032515,1.7224704E9,2024-08-01
60387.54062321362,1.7243712E9,2024-08-23
68242.2474440493,1.7222112E9,2024-07-29
65749.96361965332,1.721952E9,2024-07-26
64157.1606134782,1.724544E9,2024-08-25
58960.23658664587,1.7251488E9,2024-09-01
59350.07433270696,1.7235072E9,2024-08-13
58438.293742685404,1.7240256E9,2024-08-19
57624.11692852191,1.7237664E9,2024-08-16
68055.40838968738,1.7221248E9,2024-07-28
60887.70861641504,1.7233344E9,2024-08-11
59430.79163445865,1.7239392E9,2024-08-18
58881.92579151217,1.7238528E9,2024-08-17
59526.560879590994,1.7248032E9,2024-08-28
59108.73235863689,1.7253216E9,2024-09-03
57987.84601410068,1.7254944E9,2024-09-05
66770.32091848266,1.7222976E9,2024-07-30
60601.22317789727,1.7235936E9,2024-08-14
66219.05102486102,1.722384E9,2024-07-31
59060.12610074137,1.7241984E9,2024-08-21
59156.246036463555,1.7250624E9,2024-08-31
55959.84107399357,1.7229888E9,2024-08-07
65403.53513022529,1.7218656E9,2024-07-25
57504.538586220435,1.725408E9,2024-09-04
59351.5794909728,1.724976E9,2024-08-30
62103.01047283253,1.7280864E9,2024-10-05
57049.118751143265,1.7259264E9,2024-09-10
62287.39010510681,1.7283456E9,2024-10-08
64334.14274876097,1.7272224E9,2024-09-25
63151.89959401337,1.7273088E9,2024-09-26
68962.82918045693,1.7294688E9,2024-10-21
60727.86395169296,1.728E9,2024-10-04
63207.77062127557,1.7287776E9,2024-10-13
54150.9383589072,1.7257536E9,2024-09-08
60620.62747295754,1.726272E9,2024-09-14
60317.0319794625,1.7266176E9,2024-09-18
60195.18073772453,1.7286048E9,2024-10-11
65663.68986662335,1.7276544E9,2024-09-30
60597.15045618275,1.7285184E9,2024-10-10
54792.40755768575,1.72584E9,2024-09-09
63243.27532464382,1.7277408E9,2024-10-01
60655.55979196848,1.7279136E9,2024-10-03
63403.402349259355,1.7269632E9,2024-09-22
60003.29940083042,1.7263584E9,2024-09-15
65791.00212541742,1.7274816E9,2024-09-28
58106.951229815284,1.7261856E9,2024-09-13
63582.59956924825,1.7270496E9,2024-09-23
62392.34048293159,1.7286912E9,2024-10-12
68388.87128965274,1.7293824E9,2024-10-20
60872.668543725544,1.7278272E9,2024-10-02
66962.21994496793,1.7290368E9,2024-10-16
67647.54414766871,1.7291232E9,2024-10-17
65130.76884023231,1.7273952E9,2024-09-27
62185.230423727575,1.728432E9,2024-10-09
58211.123231286256,1.7265312E9,2024-09-17
62966.52931910512,1.7267904E9,2024-09-20
53923.35611071905,1.7256672E9,2024-09-07
63128.224540748255,1.7268768E9,2024-09-21
57381.764445000474,1.7260992E9,2024-09-12
62811.79972811266,1.7282592E9,2024-10-07
66049.99492708022,1.7289504E9,2024-10-15
68465.61920668735,1.729296E9,2024-10-19
61440.41208494509,1.726704E9,2024-09-19
63327.02654450202,1.727136E9,2024-09-24
65934.10709441357,1.727568E9,2024-09-29
62091.932585194016,1.7281728E9,2024-10-06
57624.16178336144,1.7260128E9,2024-09-11
59214.80226801806,1.7264448E9,2024-09-16
67328.10527002988,1.7292096E9,2024-10-18
62829.533686088886,1.728864E9,2024-10-14
68803.50626277467,1.7306784E9,2024-11-04
72342.62171127986,1.7303328E9,2024-10-31
67938.55412885673,1.7300736E9,2024-10-28
67793.29782704762,1.7307648E9,2024-11-05
98015.9355289458,1.7324928E9,2024-11-25
93004.70093103287,1.7325792E9,2024-11-26
69299.16036699413,1.730592E9,2024-11-03
98881.4694561823,1.7333568E9,2024-12-05
95981.18057210564,1.732752E9,2024-11-28
80466.71654833542,1.7312832E9,2024-11-11
75620.88606963192,1.7309376E9,2024-11-07
88264.59974582895,1.731456E9,2024-11-13
92251.65240738312,1.7320608E9,2024-11-20
69845.304531169,1.73016E9,2024-10-29
96513.14234698225,1.7330112E9,2024-12-01
89841.47194135105,1.731888E9,2024-11-18
76630.22631415377,1.7311968E9,2024-11-10
97679.46381643033,1.7324064E9,2024-11-24
69507.92256395647,1.7305056E9,2024-11-02
90947.97509443703,1.7317152E9,2024-11-16
96031.63097759831,1.7332704E9,2024-12-04
69335.42553133758,1.7308512E9,2024-11-06
66683.96806542306,1.729728E9,2024-10-24
98927.49494553401,1.73232E9,2024-11-23
98509.11859102432,1.7322336E9,2024-11-22
87407.51273710128,1.7316288E9,2024-11-15
67351.04793512498,1.7296416E9,2024-10-23
66585.66535501445,1.7299008E9,2024-10-26
70264.99735573279,1.7304192E9,2024-11-01
67394.85775735618,1.7295552E9,2024-10-22
